0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
60.0,55.0,53.333333333333336,57.5,56.0,58.333333333333336,57.142857142857146,51.25,54.44444444444444,56.0,58.18181818181818,60.833333333333336,62.30769230769231,61.42857142857143,60.666666666666664,62.5,63.529411764705884,65.55555555555556,66.3157894736842,63.5
10.0,10.0,30.0,37.5,40.0,40.0,44.285714285714285,45.0,45.55555555555556,48.0,47.27272727272727,47.5,46.15384615384615,45.0,46.0,46.25,46.470588235294116,46.111111111111114,47.36842105263158,48.0
70.0,60.0,53.333333333333336,52.5,56.0,56.666666666666664,54.285714285714285,55.0,57.77777777777778,55.0,54.54545454545455,57.5,56.92307692307692,56.42857142857143,56.0,55.625,53.529411764705884,52.77777777777778,53.68421052631579,55.0
10.0,20.0,20.0,22.5,22.0,23.333333333333332,25.714285714285715,27.5,25.555555555555557,25.0,23.636363636363637,24.166666666666668,23.846153846153847,23.571428571428573,24.0,25.625,24.705882352941178,24.444444444444443,24.736842105263158,24.5
30.0,20.0,20.0,17.5,14.0,16.666666666666668,17.142857142857142,16.25,17.77777777777778,19.0,18.181818181818183,17.5,17.692307692307693,17.857142857142858,18.0,20.0,21.176470588235293,22.22222222222222,22.105263157894736,22.5
40.0,25.0,30.0,30.0,28.0,26.666666666666668,25.714285714285715,26.25,28.88888888888889,30.0,30.0,32.5,32.30769230769231,31.428571428571427,31.333333333333332,32.5,34.705882352941174,33.888888888888886,34.21052631578947,34.5
20.0,40.0,46.666666666666664,52.5,42.0,41.666666666666664,37.142857142857146,42.5,43.333333333333336,45.0,46.36363636363637,45.833333333333336,45.38461538461539,43.57142857142857,41.333333333333336,41.25,40.588235294117645,40.55555555555556,42.10526315789474,42.5
10.0,15.0,13.333333333333334,17.5,24.0,26.666666666666668,24.285714285714285,25.0,23.333333333333332,24.0,24.545454545454547,24.166666666666668,23.846153846153847,25.0,26.666666666666668,25.625,25.294117647058822,25.0,24.736842105263158,25.0
60.0,55.0,53.333333333333336,47.5,50.0,55.0,57.142857142857146,60.0,60.0,63.0,59.09090909090909,58.333333333333336,58.46153846153846,58.57142857142857,57.333333333333336,56.875,55.88235294117647,53.888888888888886,53.68421052631579,55.0
10.0,25.0,30.0,25.0,30.0,33.333333333333336,31.428571428571427,28.75,31.11111111111111,31.0,30.90909090909091,34.166666666666664,34.61538461538461,35.0,32.666666666666664,33.125,33.529411764705884,33.333333333333336,33.1578947368421,33.5
50.0,45.0,43.333333333333336,40.0,38.0,41.666666666666664,42.857142857142854,45.0,46.666666666666664,46.0,45.45454545454545,44.166666666666664,43.07692307692308,42.857142857142854,44.0,43.75,43.529411764705884,43.888888888888886,43.1578947368421,43.0
10.0,10.0,10.0,17.5,16.0,13.333333333333334,14.285714285714286,12.5,14.444444444444445,15.0,16.363636363636363,15.0,14.615384615384615,14.285714285714286,14.666666666666666,15.625,17.058823529411764,17.22222222222222,17.894736842105264,18.5
80.0,60.0,63.333333333333336,62.5,62.0,55.0,51.42857142857143,48.75,50.0,49.0,50.0,50.0,50.76923076923077,52.142857142857146,52.666666666666664,53.125,53.529411764705884,55.0,55.26315789473684,54.5
40.0,35.0,40.0,40.0,38.0,35.0,34.285714285714285,32.5,32.22222222222222,35.0,36.36363636363637,35.833333333333336,36.15384615384615,36.42857142857143,36.666666666666664,37.5,36.470588235294116,35.0,34.21052631578947,34.0
60.0,50.0,53.333333333333336,50.0,44.0,43.333333333333336,44.285714285714285,42.5,42.22222222222222,44.0,40.90909090909091,41.666666666666664,40.76923076923077,41.42857142857143,40.666666666666664,40.625,40.588235294117645,39.44444444444444,40.0,40.0
40.0,40.0,33.333333333333336,40.0,34.0,35.0,35.714285714285715,40.0,37.77777777777778,36.0,36.36363636363637,37.5,38.46153846153846,37.857142857142854,36.0,36.25,37.64705882352941,37.22222222222222,37.36842105263158,36.5
50.0,60.0,56.666666666666664,57.5,58.0,53.333333333333336,52.857142857142854,52.5,52.22222222222222,52.0,51.81818181818182,52.5,51.53846153846154,50.714285714285715,52.0,53.125,52.94117647058823,51.666666666666664,52.63157894736842,53.5
70.0,55.0,50.0,47.5,42.0,40.0,37.142857142857146,36.25,36.666666666666664,36.0,34.54545454545455,35.833333333333336,36.92307692307692,37.857142857142854,36.666666666666664,36.875,37.05882352941177,37.77777777777778,38.421052631578945,39.5
10.0,30.0,33.333333333333336,32.5,28.0,30.0,32.857142857142854,35.0,34.44444444444444,36.0,36.36363636363637,35.833333333333336,36.92307692307692,37.857142857142854,40.0,40.0,39.411764705882355,39.44444444444444,39.473684210526315,40.0
20.0,30.0,33.333333333333336,35.0,36.0,35.0,32.857142857142854,33.75,36.666666666666664,38.0,39.09090909090909,39.166666666666664,40.76923076923077,40.714285714285715,40.666666666666664,41.25,39.411764705882355,38.888888888888886,38.421052631578945,37.5
60.0,60.0,46.666666666666664,42.5,42.0,38.333333333333336,42.857142857142854,43.75,43.333333333333336,45.0,45.45454545454545,46.666666666666664,45.38461538461539,43.57142857142857,42.0,41.875,41.76470588235294,43.333333333333336,43.68421052631579,46.0
20.0,25.0,26.666666666666668,27.5,28.0,30.0,32.857142857142854,33.75,34.44444444444444,35.0,34.54545454545455,34.166666666666664,34.61538461538461,33.57142857142857,34.666666666666664,34.375,34.705882352941174,35.55555555555556,36.31578947368421,37.5
40.0,50.0,50.0,52.5,48.0,50.0,48.57142857142857,48.75,51.111111111111114,47.0,44.54545454545455,44.166666666666664,45.38461538461539,45.714285714285715,45.333333333333336,45.625,47.05882352941177,46.666666666666664,48.421052631578945,47.0
30.0,45.0,40.0,35.0,34.0,35.0,32.857142857142854,32.5,31.11111111111111,34.0,37.27272727272727,35.833333333333336,34.61538461538461,35.0,36.666666666666664,37.5,38.23529411764706,38.888888888888886,38.94736842105263,38.5
50.0,50.0,46.666666666666664,47.5,48.0,45.0,42.857142857142854,46.25,45.55555555555556,47.0,46.36363636363637,44.166666666666664,42.30769230769231,43.57142857142857,43.333333333333336,43.75,45.88235294117647,45.0,44.21052631578947,45.0
50.0,55.0,43.333333333333336,47.5,42.0,36.666666666666664,34.285714285714285,37.5,36.666666666666664,34.0,33.63636363636363,35.0,34.61538461538461,35.0,34.0,32.5,31.176470588235293,32.22222222222222,32.10526315789474,31.0
80.0,60.0,60.0,55.0,50.0,55.0,52.857142857142854,52.5,54.44444444444444,53.0,52.72727272727273,53.333333333333336,53.07692307692308,54.285714285714285,54.0,54.375,57.05882352941177,55.55555555555556,55.26315789473684,55.0
30.0,50.0,50.0,47.5,42.0,45.0,44.285714285714285,43.75,47.77777777777778,49.0,49.09090909090909,47.5,45.38461538461539,43.57142857142857,43.333333333333336,45.0,45.294117647058826,46.111111111111114,46.8421052631579,46.0
40.0,35.0,43.333333333333336,35.0,30.0,28.333333333333332,37.142857142857146,37.5,40.0,40.0,38.18181818181818,42.5,43.84615384615385,45.714285714285715,44.0,41.25,38.8235294117647,36.666666666666664,37.36842105263158,37.5
30.0,35.0,36.666666666666664,32.5,32.0,28.333333333333332,28.571428571428573,28.75,27.77777777777778,30.0,32.72727272727273,32.5,32.30769230769231,33.57142857142857,32.0,30.625,30.0,30.0,28.94736842105263,29.0
30.0,20.0,26.666666666666668,40.0,34.0,31.666666666666668,30.0,31.25,31.11111111111111,32.0,30.0,31.666666666666668,33.84615384615385,34.285714285714285,34.666666666666664,36.25,37.05882352941177,36.111111111111114,36.31578947368421,35.0
40.0,35.0,30.0,32.5,32.0,33.333333333333336,32.857142857142854,33.75,32.22222222222222,32.0,30.90909090909091,31.666666666666668,32.30769230769231,32.857142857142854,34.0,35.625,35.294117647058826,35.0,36.31578947368421,35.5
40.0,45.0,46.666666666666664,50.0,48.0,50.0,51.42857142857143,53.75,56.666666666666664,58.0,57.27272727272727,55.833333333333336,55.38461538461539,53.57142857142857,52.0,52.5,51.1764705882353,53.333333333333336,53.68421052631579,55.0
